mode,params,li_mom_months,li_mom_min_in_window,de_hold_months,wang_dist_pct,wang_ratio_min,miao_leading_months,review_cap_months,stage,n,assets,n_1m,mean_1m,win_1m,n_3m,mean_3m,win_3m,n_6m,mean_6m,win_6m
cn_sw,li2win2_de1_wang75r102.0_miao6,2,2,1,0.75,102.0,6,12,得,123,30,123,0.00046031537536912623,0.44715447154471544,123,0.012205760719637825,0.5040650406504065,120,0.009250982239377202,0.525
cn_sw,li2win2_de1_wang75r102.0_miao6,2,2,1,0.75,102.0,6,12,旺,1098,30,1096,0.001998577431380288,0.5045620437956204,1091,0.006018539952210873,0.49679193400549954,1076,0.01733992295124641,0.5446096654275093
cn_sw,li2win2_de1_wang75r102.0_miao6,2,2,1,0.75,102.0,6,12,庙,286,28,286,0.006779204714049022,0.5629370629370629,285,0.018871110141965148,0.5719298245614035,281,0.015966642167728952,0.5409252669039146
cn_sw,li2win2_de1_wang75r102.0_miao8,2,2,1,0.75,102.0,8,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
cn_sw,li2win2_de1_wang75r102.0_miao8,2,2,1,0.75,102.0,8,12,得,123,30,123,0.00046031537536912623,0.44715447154471544,123,0.012205760719637825,0.5040650406504065,120,0.009250982239377202,0.525
cn_sw,li2win2_de1_wang75r102.0_miao8,2,2,1,0.75,102.0,8,12,旺,1098,30,1096,0.001998577431380288,0.5045620437956204,1091,0.006018539952210873,0.49679193400549954,1076,0.01733992295124641,0.5446096654275093
cn_sw,li2win2_de1_wang75r102.0_miao8,2,2,1,0.75,102.0,8,12,庙,75,23,75,0.010065242268233214,0.6133333333333333,75,0.004046351681013655,0.5066666666666667,73,-0.0072148152438943815,0.4520547945205479
cn_sw,li2win2_de2_wang65r101.0_miao4,2,2,2,0.65,101.0,4,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
cn_sw,li2win2_de2_wang65r101.0_miao4,2,2,2,0.65,101.0,4,12,得,117,30,117,0.0030451287440710797,0.47863247863247865,116,0.009819102918478468,0.47413793103448276,113,0.024765991139282427,0.6194690265486725
cn_sw,li2win2_de2_wang65r101.0_miao4,2,2,2,0.65,101.0,4,12,旺,1097,29,1095,0.002076172982529493,0.502283105022831,1090,0.0057374091658177395,0.4944954128440367,1075,0.019410907273298368,0.5506976744186046
cn_sw,li2win2_de2_wang65r101.0_miao4,2,2,2,0.65,101.0,4,12,庙,579,28,578,0.0034214013011532093,0.5363321799307958,575,0.011080502281042987,0.5356521739130434,569,0.022164585999917778,0.5536028119507909
cn_sw,li2win2_de2_wang65r101.0_miao6,2,2,2,0.65,101.0,6,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
cn_sw,li2win2_de2_wang65r101.0_miao6,2,2,2,0.65,101.0,6,12,得,117,30,117,0.0030451287440710797,0.47863247863247865,116,0.009819102918478468,0.47413793103448276,113,0.024765991139282427,0.6194690265486725
cn_sw,li2win2_de2_wang65r101.0_miao6,2,2,2,0.65,101.0,6,12,旺,1097,29,1095,0.002076172982529493,0.502283105022831,1090,0.0057374091658177395,0.4944954128440367,1075,0.019410907273298368,0.5506976744186046
cn_sw,li2win2_de2_wang65r101.0_miao6,2,2,2,0.65,101.0,6,12,庙,286,28,286,0.006779204714049022,0.5629370629370629,285,0.018871110141965148,0.5719298245614035,281,0.015966642167728952,0.5409252669039146
cn_sw,li2win2_de2_wang65r101.0_miao8,2,2,2,0.65,101.0,8,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
cn_sw,li2win2_de2_wang65r101.0_miao8,2,2,2,0.65,101.0,8,12,得,117,30,117,0.0030451287440710797,0.47863247863247865,116,0.009819102918478468,0.47413793103448276,113,0.024765991139282427,0.6194690265486725
cn_sw,li2win2_de2_wang65r101.0_miao8,2,2,2,0.65,101.0,8,12,旺,1097,29,1095,0.002076172982529493,0.502283105022831,1090,0.0057374091658177395,0.4944954128440367,1075,0.019410907273298368,0.5506976744186046
cn_sw,li2win2_de2_wang65r101.0_miao8,2,2,2,0.65,101.0,8,12,庙,75,23,75,0.010065242268233214,0.6133333333333333,75,0.004046351681013655,0.5066666666666667,73,-0.0072148152438943815,0.4520547945205479
cn_sw,li2win2_de2_wang65r102.0_miao4,2,2,2,0.65,102.0,4,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
cn_sw,li2win2_de2_wang65r102.0_miao4,2,2,2,0.65,102.0,4,12,得,117,30,117,0.0030451287440710797,0.47863247863247865,116,0.009819102918478468,0.47413793103448276,113,0.024765991139282427,0.6194690265486725
cn_sw,li2win2_de2_wang65r102.0_miao4,2,2,2,0.65,102.0,4,12,旺,1074,29,1072,0.0022213311876211513,0.5074626865671642,1067,0.006035197434690547,0.49765698219306465,1053,0.01896806668597748,0.5498575498575499
cn_sw,li2win2_de2_wang65r102.0_miao4,2,2,2,0.65,102.0,4,12,庙,579,28,578,0.0034214013011532093,0.5363321799307958,575,0.011080502281042987,0.5356521739130434,569,0.022164585999917778,0.5536028119507909
cn_sw,li2win2_de2_wang65r102.0_miao6,2,2,2,0.65,102.0,6,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
cn_sw,li2win2_de2_wang65r102.0_miao6,2,2,2,0.65,102.0,6,12,得,117,30,117,0.0030451287440710797,0.47863247863247865,116,0.009819102918478468,0.47413793103448276,113,0.024765991139282427,0.6194690265486725
cn_sw,li2win2_de2_wang65r102.0_miao6,2,2,2,0.65,102.0,6,12,旺,1074,29,1072,0.0022213311876211513,0.5074626865671642,1067,0.006035197434690547,0.49765698219306465,1053,0.01896806668597748,0.5498575498575499
cn_sw,li2win2_de2_wang65r102.0_miao6,2,2,2,0.65,102.0,6,12,庙,286,28,286,0.006779204714049022,0.5629370629370629,285,0.018871110141965148,0.5719298245614035,281,0.015966642167728952,0.5409252669039146
cn_sw,li2win2_de2_wang65r102.0_miao8,2,2,2,0.65,102.0,8,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
cn_sw,li2win2_de2_wang65r102.0_miao8,2,2,2,0.65,102.0,8,12,得,117,30,117,0.0030451287440710797,0.47863247863247865,116,0.009819102918478468,0.47413793103448276,113,0.024765991139282427,0.6194690265486725
cn_sw,li2win2_de2_wang65r102.0_miao8,2,2,2,0.65,102.0,8,12,旺,1074,29,1072,0.0022213311876211513,0.5074626865671642,1067,0.006035197434690547,0.49765698219306465,1053,0.01896806668597748,0.5498575498575499
cn_sw,li2win2_de2_wang65r102.0_miao8,2,2,2,0.65,102.0,8,12,庙,75,23,75,0.010065242268233214,0.6133333333333333,75,0.004046351681013655,0.5066666666666667,73,-0.0072148152438943815,0.4520547945205479
cn_sw,li2win2_de2_wang70r101.0_miao4,2,2,2,0.7,101.0,4,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
cn_sw,li2win2_de2_wang70r101.0_miao4,2,2,2,0.7,101.0,4,12,得,117,30,117,0.0030451287440710797,0.47863247863247865,116,0.009819102918478468,0.47413793103448276,113,0.024765991139282427,0.6194690265486725
cn_sw,li2win2_de2_wang70r101.0_miao4,2,2,2,0.7,101.0,4,12,旺,1096,29,1094,0.0020981659130312924,0.5027422303473492,1089,0.0057261534589897545,0.49403122130394855,1074,0.019402660773332726,0.5502793296089385
cn_sw,li2win2_de2_wang70r101.0_miao4,2,2,2,0.7,101.0,4,12,庙,579,28,578,0.0034214013011532093,0.5363321799307958,575,0.011080502281042987,0.5356521739130434,569,0.022164585999917778,0.5536028119507909
cn_sw,li2win2_de2_wang70r101.0_miao6,2,2,2,0.7,101.0,6,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
cn_sw,li2win2_de2_wang70r101.0_miao6,2,2,2,0.7,101.0,6,12,得,117,30,117,0.0030451287440710797,0.47863247863247865,116,0.009819102918478468,0.47413793103448276,113,0.024765991139282427,0.6194690265486725
cn_sw,li2win2_de2_wang70r101.0_miao6,2,2,2,0.7,101.0,6,12,旺,1096,29,1094,0.0020981659130312924,0.5027422303473492,1089,0.0057261534589897545,0.49403122130394855,1074,0.019402660773332726,0.5502793296089385
cn_sw,li2win2_de2_wang70r101.0_miao6,2,2,2,0.7,101.0,6,12,庙,286,28,286,0.006779204714049022,0.5629370629370629,285,0.018871110141965148,0.5719298245614035,281,0.015966642167728952,0.5409252669039146
cn_sw,li2win2_de2_wang70r101.0_miao8,2,2,2,0.7,101.0,8,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
cn_sw,li2win2_de2_wang70r101.0_miao8,2,2,2,0.7,101.0,8,12,得,117,30,117,0.0030451287440710797,0.47863247863247865,116,0.009819102918478468,0.47413793103448276,113,0.024765991139282427,0.6194690265486725
cn_sw,li2win2_de2_wang70r101.0_miao8,2,2,2,0.7,101.0,8,12,旺,1096,29,1094,0.0020981659130312924,0.5027422303473492,1089,0.0057261534589897545,0.49403122130394855,1074,0.019402660773332726,0.5502793296089385
cn_sw,li2win2_de2_wang70r101.0_miao8,2,2,2,0.7,101.0,8,12,庙,75,23,75,0.010065242268233214,0.6133333333333333,75,0.004046351681013655,0.5066666666666667,73,-0.0072148152438943815,0.4520547945205479
cn_sw,li2win2_de2_wang70r102.0_miao4,2,2,2,0.7,102.0,4,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
cn_sw,li2win2_de2_wang70r102.0_miao4,2,2,2,0.7,102.0,4,12,得,117,30,117,0.0030451287440710797,0.47863247863247865,116,0.009819102918478468,0.47413793103448276,113,0.024765991139282427,0.6194690265486725
cn_sw,li2win2_de2_wang70r102.0_miao4,2,2,2,0.7,102.0,4,12,旺,1073,29,1071,0.0022439319571580883,0.5079365079365079,1066,0.006023978225997486,0.4971857410881801,1052,0.018959226779560728,0.5494296577946768
cn_sw,li2win2_de2_wang70r102.0_miao4,2,2,2,0.7,102.0,4,12,庙,579,28,578,0.0034214013011532093,0.5363321799307958,575,0.011080502281042987,0.5356521739130434,569,0.022164585999917778,0.5536028119507909
cn_sw,li2win2_de2_wang70r102.0_miao6,2,2,2,0.7,102.0,6,12,利,1774,31,1761,-0.001175702831883555,0.4491766042021579,1732,-0.005692227575156531,0.43071593533487296,1702,-0.007376429466433444,0.4218566392479436
